Целевая группа,УПРАЖНЕНИЯ,ССЫЛКА НА УПРАЖНЕНИЕ,,,
ноги/ягодицы,,,,,
1,Ягодичный мостик на одной ноге с опорой на стул,https://youtu.be/2n5wtmnNNlw,,бег,https://youtu.be/mw3KT-CdUiU
2,Ягодичный мостик на прямых руках,https://youtu.be/6ANTam45CfM,,,
3,Выброс гири перед собой ,https://youtu.be/VVwXPo15U7U,,Французский жим сидя на стуле ,https://youtu.be/fA3CY8BSeAQ
4,Подъем на носки ,https://youtu.be/w6PAxMsKo90,,Французский жим лежа ,https://youtu.be/3sOThpNqh3Q
5,Мертвая тяга + присед + гантеля над собой,https://youtu.be/9Q8jGHM0pMo,,,
6,Присед с пружинкой ,https://youtu.be/rrAdwM0doCM,,,
7,Присед + выпад ,https://youtu.be/L0R1jns60Tc,,,
8,Приседания с акцентом на одну ногу,https://youtu.be/CV3Pz0AxBag,,Сгибание ног стоя с резинкой ,
9,Приседания с касанием стула ,https://youtu.be/KUdYfEJ8qWU,,Скручивания на стуле ,
10,Выпады в пружинке + отведение ноги назад,https://youtu.be/cV9QrnCh0fs,,Тяга резинки сидя на стуле ,
11,Отведение таза назад + гантеля,https://youtu.be/6MXAx89Nt9w,,Подъем гантель перед собой сидя на стуле ,
12,Прыжки + подъем гантелей перед собой,https://youtu.be/qqT1DpP8aVE,,Бицепс сидя на стуле ,
13,Присед + скручивания,https://youtu.be/sM5l6odKXJ4,,Тяга амортизатора сидя на стуле ,
14,Сведение ног на стуле,https://youtu.be/5c0EXa6wLS4,,Журавлик ,
15,Отведение ноги назад и в сторону ,,,,
16,Отведение таза назад с колен ,,,,
17,Выпады с подъемом гантелей ,https://youtu.be/HkFU7Rgx1h0,,,
СПИНА:,,,,,
,Тяга гантели к поясу в упоре на стул ,https://youtu.be/0KrlBBinq3A,,,
ГРУДЬ,,,,,
18,Отжимания от стены ,https://youtu.be/3IU93aSr1yk,,Обратные отжимания от стула ,https://youtu.be/RTQEEgkaO94
,,,,,
,,,,,
,,,,,
,,,,,
19,Подъем гантели перед собой сидя на стуле ,https://youtu.be/30wj9myMlOk,,Отведение ноги в наклоне стоя ,https://youtu.be/2cmnubTKclo
20,Подъем на бицепс у стены ,https://youtu.be/iwhwSzI864M,,Отведение ноги назад и в сторону ,
21,,,,Отведение таза назад с колен ,
22,Пресс ,https://youtu.be/UIPkK4Sd_s4,,Отжимания от стены ,https://youtu.be/3IU93aSr1yk
23,Выпады с подъемом гантелей ,https://youtu.be/HkFU7Rgx1h0,,Подъем гантели перед собой сидя на стуле ,https://youtu.be/30wj9myMlOk
24,Присед+подъем гантели над головой,https://youtu.be/NiGdC-sNKBs,,Подъем на бицепс у стены ,https://youtu.be/iwhwSzI864M
25,Трастеры ,https://youtu.be/RbOJZZlyJXI,,Отжимания от стены ,https://youtu.be/3IU93aSr1yk
26,,,,Подъем гантели перед собой сидя на стуле ,https://youtu.be/30wj9myMlOk
27,Пронация гантель + подъем над головой ,https://youtu.be/LbFko1s3v2E,,Подъем на бицепс у стены ,https://youtu.be/iwhwSzI864M
28,Разводка гантелей лежа ,https://youtu.be/hMoctAs4JCg,,,
29,Разгибания на трицепс в наклоне ,https://youtu.be/GycaGLxWN2U,,Пресс ,https://youtu.be/UIPkK4Sd_s4
30,,,,,
31,Упражнения сидя на стуле низ ,https://youtu.be/Gte5mxZ56mI,,,
32,Упражнения сидя на стуле верх ,https://youtu.be/yRIVTtNG8SA,,,
33,Французский жим сидя на стуле ,,,,
34,Боковые скручивания полулежа,https://youtu.be/Errw3QkcWag,,,
35,Французский жим лежа,,,,
36,,,,,
37,Махи через стороны попеременно,https://youtu.be/jhh_fbWK3s0,,,
38,,,переснять,,
39,,,,,
40,,,,,
41,,,,,
42,Комплекс 1 ,,,,
43,,,,,
44,,,,,
45,,,,,
46,Книжка на стуле,https://youtu.be/2mfcuOhlGPo,,,
47,,,,,
,табата 1,https://youtu.be/0lswxJ6v9Po,,,
,табата 2,https://youtu.be/lB0L6Mbazus,,,
